ID,Group,f_1,f_2,Feature_3
ID763,C,2485.0568174848213,381.755674822732,323.5030001392138
ID204,C,2440.1832258760696,403.0104504953539,184.96340869755977
ID734,C,2179.5713893890115,415.24305273531456,492.03819828255155
ID422,B,3392.261364828115,423.5437625218628,9485.403218080193
ID559,C,2825.963353635457,400.4511319210155,159.19583999399129
ID432,A,2459.4673224252365,390.8276891663951,8185.237989005447
ID337,B,2982.536854166154,377.23453000651796,8465.341542811133
ID347,C,2474.583083126348,425.0661517518006,239.35770499067576
ID774,C,2572.393896291233,433.12559921127007,-101.45783286353935
ID142,B,2421.326423251233,393.2219208306124,6984.968797014954
ID892,B,2974.8018025424003,403.2456508305566,8157.522204908448
ID898,B,3089.6778874081665,407.46629480377464,8824.690578250726
ID345,B,3047.2809722869833,401.49451115696934,8195.768574020283
ID290,A,2551.8320284990837,407.88564222995393,8091.750747351751
ID853,B,2758.3491794336505,392.01532734360774,7533.755368706021
ID581,C,2339.526885828224,410.6863102595836,587.4643622614744
ID602,A,2477.1570009862075,413.703203278579,7699.295012181522
ID179,A,2698.2041604365777,396.2294589708059,7902.526334910476
ID584,A,2909.8907009555055,393.98063795403664,9119.493778700957
ID707,A,2507.3214186213804,433.55961755283283,8036.324726864179
ID154,A,2771.533567181662,391.2939720924444,8909.139478395316
ID442,A,2718.235227875841,418.74104185239025,8731.553330298304
ID849,C,1785.8352076960882,386.47834352571414,1183.3502176860438
ID119,A,2178.773754173126,382.85161872518063,7058.004214794455
ID790,A,2579.049198713538,399.410323889968,8210.868366627412
ID619,C,2557.321570650378,406.5611626282362,7.722298498787495
ID488,C,2823.2172912903775,389.8907074995995,52.37611999946603
ID554,A,2969.6891127033973,387.56729080618686,9246.570322922169
ID259,A,2409.674224043455,386.4910294148348,7946.526855413586
ID873,B,2915.8135912218854,391.35790175790544,8344.809122248782
ID697,B,3001.512397394269,391.92149623976036,8583.38120743153
ID701,C,2099.050460448918,406.68173260182846,259.0797609231545
ID416,C,2481.0191579270804,396.1880024881413,139.17672686127935
ID338,B,2370.8778135596644,417.05335550419403,7134.11178319973
ID224,B,2006.4950053687191,406.45655873885084,6529.112122245429
ID227,C,2894.266028356152,397.8851839830248,0.7505655441877934
ID107,B,2664.3579680444477,396.0592982328776,7880.396455573631
ID127,A,2865.904102730017,404.6379859970643,8924.78977273584
ID309,B,2736.139104406786,373.7077926977031,8410.488456774689
ID477,C,2574.3651100272687,379.7980948264107,543.7788118955286
ID655,B,2451.591984749066,412.9140856219594,7750.515958557095
ID257,A,2694.2706001815823,395.3142815754849,8922.43233179802
ID261,C,2485.6186349411396,397.96501026844675,250.0001034935185
ID181,B,2559.5503333655465,411.8064848168995,7576.99369472801
ID313,B,1857.6241424620384,437.30606008799305,6336.506669190674
ID141,C,2643.9108199765865,386.93102057762155,-464.94900939077115
ID434,B,2333.893933316183,387.75781218807606,7049.8140844662885
ID757,C,2160.721923554173,397.12598197508856,897.7398753414818
ID156,A,2624.6307248859744,412.570141506082,7643.2998630302545
ID893,B,2299.638824935042,397.22864973282765,7646.4881918643905
ID310,A,2433.711152192513,408.33913032027385,8220.339068868274
ID272,B,2136.529037679169,391.3357879076621,6811.709194812791
ID117,B,2043.89006044235,383.79292591375236,6593.094257497197
ID794,B,2833.603506573294,389.2772144663846,8214.574309037256
ID459,C,2366.4922199610055,380.8254634725052,591.8979563536689
ID408,A,2551.376220057083,412.86916267975914,8369.323236333075
ID489,A,2821.0119676859445,397.52568645340403,8993.495843075321
ID125,B,2580.266277921909,406.7415301533584,7925.563365910368
ID476,C,2815.439714950008,378.70775332423284,264.20970763794276
ID134,B,2709.8134965023223,367.63331828076326,8087.341532109732
ID403,A,2732.213526182954,404.91290691789385,8551.050954171127
ID212,C,2564.387184384526,387.58497233506785,322.803653552196
ID878,C,2744.6595017065474,402.9552579152151,62.532792257812616
ID640,B,2933.7072951260516,384.51428831892474,8301.0780304373
ID366,C,2709.4266143531713,374.79912523948883,214.67434473399408
ID220,B,2467.387967537083,410.35486060062095,7275.288228193664
ID710,B,2567.1825593558247,410.31807041832343,7292.645426212428
ID616,C,2579.2562372413245,381.9643838908889,-24.52593921325888
ID333,A,3162.8776670878324,401.6349969354511,10192.032027024265
ID547,A,2578.163800255665,416.46613473213233,8343.844596699366
ID455,B,2564.7268570726824,400.81635582185356,7852.311226382644
ID534,A,2297.218554563142,392.5754080218013,7511.279402759571
ID180,C,3243.4011807529855,364.0049163173939,-572.8593457577967
ID254,A,2730.6915114559706,376.5161069426233,8547.031311800984
ID556,A,2109.5557448535483,406.39975779554925,7012.963774435038
ID496,A,2063.7395800582067,407.82003612021725,6710.945563154464
ID176,B,2623.390007596495,410.34730042949786,7467.310452751707
ID359,B,2891.6517313514028,398.40852415855306,8362.263789421899
ID284,B,2880.111089028544,418.2474200519485,7584.728438009981
ID814,C,2660.3153704602087,399.2990070381399,583.4021404673499
ID226,C,2620.3161361296475,406.4135117925581,343.4604619671595
ID654,A,2305.8923917447573,412.84298642480894,7241.264250846796
ID676,C,3063.9620923442944,435.0011121050221,-348.67781463502524
ID108,A,2563.019093091658,416.3772949458421,8326.733396152493
ID698,B,2704.759822085064,393.1796874639588,8026.628286047192
ID274,A,2099.2379211402254,400.02146498452544,6884.267777732048
ID285,B,2505.700971463837,397.2455803432534,7460.24744132273
ID208,C,3249.552402435018,391.74975836671723,36.906904352237234
ID809,C,2771.51440824556,388.1080238630331,361.0064520677661
ID207,C,2513.669277732588,380.31562634471555,1062.0300538299607
ID388,B,2993.600157259658,393.4304469135463,8296.475670238047
ID152,B,2525.1106958722075,382.5031201439781,7564.457354331393
ID576,B,3096.786118632269,411.11242102856943,8862.28986515789
ID682,A,2796.2395125751136,417.2588356596075,9016.166597476025
ID214,B,2897.8601511255138,406.8339371818101,8547.765536258123
ID262,C,2438.055544650537,396.85860279025025,560.1324544825275
ID308,B,2353.65306043917,404.68290568130845,7164.799314852897
ID316,B,2682.4288427561323,415.89152451246935,7351.298382112863
ID195,C,2814.692208123289,403.6759230459825,8.124212577745766
ID360,B,2983.548347450974,417.8738677327643,8404.156264198045
ID132,B,2814.7787946444305,410.8121608603525,7955.820418004574
ID209,A,2396.1256680795796,385.9938575110466,7269.590320385887
ID399,B,2276.457305068652,391.24531585347876,6994.872193045152
ID424,A,2071.0312056462894,367.64027940042416,7036.404124891266
ID538,B,2161.5019285933045,421.90592000999413,6762.845986630067
ID193,A,3001.058923106166,382.56281747168026,9348.99100964567
ID649,A,2473.197281656464,383.89960441923625,7846.112514815075
ID627,B,2390.4689514682336,389.69372609077834,7541.338441958707
ID158,A,2026.5703670185092,413.6012867262126,6796.71664952542
